0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018308417-0.000266713i	-0.112750611+0.000227001i	+0.008656084+0.000047640i	+0.201192127+0.000326107i	+0.022931616+0.000340279i	+0.064514570+0.000809379i	+0.063038166-0.000150930i	-0.001776081+0.000077519i	-0.103314965-0.000584020i	+0.000561114+0.000000160i	-0.003752485-0.000002424i	+0.000316185+0.000000540i	+0.006143574-0.000003527i	+0.000757778+0.000000377i	+0.002354128+0.000000476i	+0.001924821-0.000000741i	-0.000061037+0.000000253i	-0.003773671-0.000003196i
1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018315033-0.000241922i	-0.112748414+0.000232040i	+0.008692328+0.000121239i	+0.201206673+0.000379191i	+0.022920184+0.000310543i	+0.064596384+0.000978838i	+0.063011663-0.000245543i	-0.001760523+0.000116313i	-0.103285522-0.000524760i	+0.000561139+0.000000165i	-0.003752488-0.000002427i	+0.000316161+0.000000648i	+0.006143549-0.000003454i	+0.000757781+0.000000339i	+0.002354118+0.000000675i	+0.001924851-0.000000891i	-0.000061006+0.000000347i	-0.003773694-0.000003114i
2.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018325784-0.000201830i	-0.112743033+0.000245090i	+0.008724863+0.000186948i	+0.201232031+0.000474145i	+0.022900909+0.000260956i	+0.064660139+0.001111399i	+0.062994980-0.000302470i	-0.001749770+0.000143458i	-0.103222713-0.000398497i	+0.000561126+0.000000235i	-0.003752488-0.000002400i	+0.000316145+0.000000714i	+0.006143517-0.000003319i	+0.000757801+0.000000294i	+0.002354044+0.000000837i	+0.001924811-0.000000926i	-0.000061017+0.000000341i	-0.003773686-0.000002975i
3.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018337536-0.000158573i	-0.112737490+0.000258642i	+0.008740397+0.000218182i	+0.201257630+0.000569734i	+0.022880546+0.000208865i	+0.064683174+0.001159658i	+0.062991340-0.000315956i	-0.001746563+0.000151471i	-0.103164470-0.000282342i	+0.000561098+0.000000265i	-0.003752474-0.000002402i	+0.000316167+0.000000776i	+0.006143500-0.000003207i	+0.000757807+0.000000217i	+0.002354014+0.000000941i	+0.001924818-0.000000991i	-0.000061023+0.000000332i	-0.003773727-0.000002807i
4.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018350692-0.000110021i	-0.112730172+0.000276593i	+0.008745068+0.000227421i	+0.201284587+0.000670277i	+0.022857269+0.000149154i	+0.064675954+0.001146283i	+0.062996102-0.000296301i	-0.001749121+0.000145445i	-0.103108484-0.000170062i	+0.000561086+0.000000346i	-0.003752477-0.000002375i	+0.000316138+0.000000778i	+0.006143481-0.000003101i	+0.000757809+0.000000163i	+0.002354027+0.000000894i	+0.001924812-0.000000943i	-0.000061020+0.000000361i	-0.003773734-0.000002676i
5.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018361999-0.000069035i	-0.112722845+0.000294691i	+0.008739218+0.000215778i	+0.201305315+0.000745901i	+0.022837439+0.000097849i	+0.064646309+0.001087645i	+0.063006789-0.000256121i	-0.001755716+0.000128774i	-0.103073269-0.000099144i	+0.000561086+0.000000388i	-0.003752457-0.000002335i	+0.000316154+0.000000745i	+0.006143449-0.000003038i	+0.000757807+0.000000088i	+0.002354000+0.000000848i	+0.001924781-0.000000905i	-0.000061013+0.000000304i	-0.003773760-0.000002592i
6.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018369760-0.000040778i	-0.112716201+0.000311367i	+0.008729657+0.000196519i	+0.201316629+0.000789585i	+0.022823135+0.000061234i	+0.064612956+0.001019321i	+0.063018456-0.000213454i	-0.001763266+0.000109579i	-0.103058210-0.000068793i	+0.000561068+0.000000415i	-0.003752453-0.000002326i	+0.000316129+0.000000740i	+0.006143456-0.000002967i	+0.000757828+0.000000055i	+0.002354019+0.000000742i	+0.001924765-0.000000834i	-0.000060996+0.000000283i	-0.003773752-0.000002537i
7.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018376063-0.000017821i	-0.112708579+0.000329176i	+0.008717060+0.000170933i	+0.201323270+0.000817250i	+0.022811023+0.000029841i	+0.064575800+0.000941341i	+0.063030749-0.000169310i	-0.001771852+0.000087686i	-0.103055919-0.000065326i	+0.000561031+0.000000450i	-0.003752457-0.000002332i	+0.000316150+0.000000707i	+0.006143463-0.000002939i	+0.000757808-0.000000010i	+0.002354030+0.000000639i	+0.001924737-0.000000776i	-0.000061010+0.000000274i	-0.003773736-0.000002547i
8.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018380565-0.000002389i	-0.112701647+0.000346599i	+0.008704346+0.000145899i	+0.201325138+0.000824825i	+0.022802562+0.000007662i	+0.064543202+0.000874826i	+0.063040916-0.000130977i	-0.001779837+0.000066539i	-0.103064124-0.000081461i	+0.000561059+0.000000450i	-0.003752469-0.000002287i	+0.000316149+0.000000648i	+0.006143423-0.000002918i	+0.000757839-0.000000020i	+0.002354038+0.000000576i	+0.001924711-0.000000746i	-0.000060991+0.000000256i	-0.003773743-0.000002554i
9.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018383016+0.000006133i	-0.112695987+0.000361029i	+0.008694429+0.000126302i	+0.201323814+0.000819713i	+0.022797459-0.000005465i	+0.064521020+0.000829705i	+0.063047917-0.000105258i	-0.001786114+0.000050177i	-0.103075893-0.000105014i	+0.000561081+0.000000465i	-0.003752463-0.000002254i	+0.000316139+0.000000653i	+0.006143427-0.000002907i	+0.000757837-0.000000040i	+0.002354031+0.000000478i	+0.001924724-0.000000745i	-0.000061008+0.000000234i	-0.003773758-0.000002593i
10.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018384443+0.000010498i	-0.112691135+0.000373474i	+0.008686742+0.000111428i	+0.201320767+0.000808357i	+0.022794612-0.000013224i	+0.064506405+0.000800535i	+0.063052259-0.000088791i	-0.001790770+0.000037463i	-0.103087882-0.000128741i	+0.000561089+0.000000485i	-0.003752456-0.000002247i	+0.000316133+0.000000635i	+0.006143461-0.000002926i	+0.000757833-0.000000068i	+0.002354008+0.000000470i	+0.001924743-0.000000681i	-0.000060977+0.000000198i	-0.003773739-0.000002629i
11.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385235+0.000012374i	-0.112687154+0.000383761i	+0.008680997+0.000100354i	+0.201317293+0.000795461i	+0.022792945-0.000017671i	+0.064497517+0.000782595i	+0.063054707-0.000079663i	-0.001794167+0.000028019i	-0.103098713-0.000150062i	+0.000561106+0.000000488i	-0.003752470-0.000002240i	+0.000316108+0.000000604i	+0.006143437-0.000002970i	+0.000757816-0.000000062i	+0.002354024+0.000000446i	+0.001924713-0.000000697i	-0.000060964+0.000000194i	-0.003773759-0.000002658i
12.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385644+0.000012820i	-0.112684511+0.000391415i	+0.008677387+0.000093077i	+0.201314425+0.000783886i	+0.022792166-0.000019955i	+0.064493400+0.000773266i	+0.063056353-0.000075822i	-0.001796534+0.000021629i	-0.103106868-0.000165810i	+0.000561100+0.000000467i	-0.003752453-0.000002228i	+0.000316108+0.000000600i	+0.006143451-0.000002960i	+0.000757857-0.000000058i	+0.002354007+0.000000432i	+0.001924714-0.000000684i	-0.000060919+0.000000193i	-0.003773781-0.000002699i
13.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385628+0.000012554i	-0.112682136+0.000397807i	+0.008674686+0.000087724i	+0.201311183+0.000773468i	+0.022791654-0.000021163i	+0.064491235+0.000768440i	+0.063056562-0.000074936i	-0.001798297+0.000016872i	-0.103113399-0.000178740i	+0.000561105+0.000000483i	-0.003752472-0.000002255i	+0.000316134+0.000000610i	+0.006143432-0.000002977i	+0.000757829-0.000000056i	+0.002354028+0.000000479i	+0.001924741-0.000000656i	-0.000060934+0.000000210i	-0.003773742-0.000002689i
14.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385509+0.000011969i	-0.112680019+0.000403241i	+0.008672829+0.000084083i	+0.201308301+0.000764259i	+0.022791513-0.000021571i	+0.064491086+0.000767361i	+0.063056425-0.000075747i	-0.001799470+0.000013561i	-0.103117757-0.000187987i	+0.000561075+0.000000480i	-0.003752502-0.000002201i	+0.000316111+0.000000604i	+0.006143449-0.000002983i	+0.000757841-0.000000061i	+0.002354022+0.000000450i	+0.001924744-0.000000675i	-0.000060945+0.000000187i	-0.003773768-0.000002705i
15.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385384+0.000011273i	-0.112678637+0.000407534i	+0.008671643+0.000081566i	+0.201306718+0.000756666i	+0.022791477-0.000021638i	+0.064491486+0.000768075i	+0.063055861-0.000077620i	-0.001800470+0.000011164i	-0.103121346-0.000194869i	+0.000561110+0.000000481i	-0.003752493-0.000002225i	+0.000316096+0.000000582i	+0.006143449-0.000003007i	+0.000757835-0.000000057i	+0.002354028+0.000000431i	+0.001924748-0.000000657i	-0.000060938+0.000000190i	-0.003773748-0.000002708i
16.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385169+0.000010661i	-0.112677548+0.000410622i	+0.008670957+0.000080101i	+0.201305352+0.000751210i	+0.022791603-0.000021516i	+0.064492101+0.000769721i	+0.063055214-0.000079610i	-0.001801108+0.000009651i	-0.103123575-0.000198887i	+0.000561097+0.000000476i	-0.003752506-0.000002222i	+0.000316102+0.000000576i	+0.006143430-0.000002998i	+0.000757822-0.000000026i	+0.002354042+0.000000426i	+0.001924743-0.000000696i	-0.000060937+0.000000168i	-0.003773791-0.000002733i
17.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385154+0.000010006i	-0.112676691+0.000413323i	+0.008670281+0.000079012i	+0.201304062+0.000746461i	+0.022791638-0.000021320i	+0.064493020+0.000771792i	+0.063054439-0.000081967i	-0.001801398+0.000008469i	-0.103125174-0.000201911i	+0.000561113+0.000000493i	-0.003752514-0.000002211i	+0.000316105+0.000000607i	+0.006143438-0.000003014i	+0.000757826-0.000000050i	+0.002354048+0.000000456i	+0.001924743-0.000000682i	-0.000060919+0.000000177i	-0.003773754-0.000002722i
18.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018385057+0.000009570i	-0.112676272+0.000415299i	+0.008670118+0.000078424i	+0.201303482+0.000743160i	+0.022791745-0.000021178i	+0.064493782+0.000773754i	+0.063053876-0.000083901i	-0.001801773+0.000007806i	-0.103126237-0.000203385i	+0.000561129+0.000000496i	-0.003752497-0.000002229i	+0.000316108+0.000000570i	+0.006143448-0.000003044i	+0.000757846-0.000000043i	+0.002353995+0.000000458i	+0.001924739-0.000000697i	-0.000060953+0.000000159i	-0.003773799-0.000002731i
19.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018384961+0.000009207i	-0.112675934+0.000416474i	+0.008670043+0.000078068i	+0.201303208+0.000741149i	+0.022791722-0.000020975i	+0.064494563+0.000775521i	+0.063053270-0.000085561i	-0.001802147+0.000007304i	-0.103126953-0.000204419i	+0.000561147+0.000000469i	-0.003752518-0.000002218i	+0.000316103+0.000000566i	+0.006143485-0.000002988i	+0.000757842-0.000000059i	+0.002354011+0.000000447i	+0.001924718-0.000000665i	-0.000060946+0.000000175i	-0.003773767-0.000002738i
20.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018384902+0.000008812i	-0.112675701+0.000417832i	+0.008669977+0.000077737i	+0.201303008+0.000739018i	+0.022791897-0.000020749i	+0.064495287+0.000777453i	+0.063052632-0.000087312i	-0.001802343+0.000006945i	-0.103127471-0.000204873i	+0.000561115+0.000000482i	-0.003752544-0.000002213i	+0.000316126+0.000000577i	+0.006143470-0.000003013i	+0.000757867-0.000000059i	+0.002353993+0.000000472i	+0.001924747-0.000000682i	-0.000060961+0.000000166i	-0.003773794-0.000002756i
21.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018386233+0.000008504i	-0.112676904+0.000419093i	+0.008668697+0.000077573i	+0.201306172+0.000737139i	+0.022792497-0.000020581i	+0.064493834+0.000778777i	+0.063052337-0.000088817i	-0.001800958+0.000006780i	-0.103129948-0.000204712i	+0.000561159+0.000000472i	-0.003752578-0.000002213i	+0.000316072+0.000000594i	+0.006143601-0.000003006i	+0.000757857-0.000000065i	+0.002353930+0.000000488i	+0.001924736-0.000000671i	-0.000060903+0.000000171i	-0.003773870-0.000002728i
22.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018386556+0.000008218i	-0.112676781+0.000420165i	+0.008668763+0.000077547i	+0.201306105+0.000735817i	+0.022792395-0.000020542i	+0.064494200+0.000779834i	+0.063052555-0.000089925i	-0.001801014+0.000006696i	-0.103129928-0.000204437i	+0.000561173+0.000000480i	-0.003752602-0.000002202i	+0.000316064+0.000000579i	+0.006143599-0.000003036i	+0.000757838-0.000000078i	+0.002353906+0.000000487i	+0.001924727-0.000000727i	-0.000060891+0.000000161i	-0.003773880-0.000002745i
23.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018386719+0.000008069i	-0.112676810+0.000420710i	+0.008668647+0.000077468i	+0.201306337+0.000735089i	+0.022792535-0.000020391i	+0.064494510+0.000780920i	+0.063052212-0.000090790i	-0.001800883+0.000006549i	-0.103130164-0.000204354i	+0.000561197+0.000000473i	-0.003752601-0.000002199i	+0.000316079+0.000000575i	+0.006143560-0.000003048i	+0.000757835-0.000000043i	+0.002353906+0.000000449i	+0.001924744-0.000000673i	-0.000060892+0.000000164i	-0.003773894-0.000002724i
