0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018016952-0.000125386i	-0.112790029+0.000390410i	+0.008639644+0.000071654i	+0.200945745+0.000602021i	+0.023207153+0.000100628i	+0.064547568+0.000799838i	+0.063019547-0.000107158i	-0.001706259+0.000031331i	-0.103443692-0.000280476i	+0.000560916-0.000001229i	-0.003752771-0.000002614i	+0.000315779+0.000000430i	+0.006143209-0.000005138i	+0.000758126+0.000002226i	+0.002353939+0.000000790i	+0.001924674-0.000000985i	-0.000060574+0.000000642i	-0.003774391-0.000004699i
1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018037528-0.000117850i	-0.112791494+0.000390033i	+0.008695844+0.000086131i	+0.200979986+0.000614190i	+0.023180281+0.000092849i	+0.064643784+0.000825162i	+0.062939425-0.000135338i	-0.001668177+0.000042010i	-0.103410352-0.000272026i	+0.000560957-0.000001121i	-0.003752787-0.000002644i	+0.000315848+0.000000803i	+0.006143290-0.000004980i	+0.000758113+0.000002074i	+0.002354039+0.000001369i	+0.001924624-0.000001337i	-0.000060553+0.000000872i	-0.003774345-0.000004473i
2.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018097017-0.000096398i	-0.112793425+0.000389434i	+0.008766318+0.000104327i	+0.201078828+0.000649545i	+0.023113712+0.000073609i	+0.064755994+0.000854815i	+0.062855260-0.000164668i	-0.001629771+0.000052768i	-0.103312808-0.000247338i	+0.000560989-0.000000851i	-0.003752789-0.000002631i	+0.000315940+0.000001249i	+0.006143347-0.000004520i	+0.000758023+0.000001716i	+0.002354226+0.000002107i	+0.001924534-0.000001732i	-0.000060494+0.000001091i	-0.003774211-0.000003836i
3.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018154721-0.000075831i	-0.112792058+0.000389660i	+0.008799485+0.000112898i	+0.201174676+0.000683760i	+0.023050518+0.000055290i	+0.064793990+0.000865015i	+0.062831915-0.000172687i	-0.001618685+0.000055841i	-0.103219347-0.000223798i	+0.000561009-0.000000605i	-0.003752794-0.000002603i	+0.000315981+0.000001477i	+0.006143403-0.000004083i	+0.000758008+0.000001370i	+0.002354223+0.000002339i	+0.001924527-0.000001811i	-0.000060477+0.000001166i	-0.003774115-0.000003260i
4.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018224800-0.000050843i	-0.112786968+0.000391024i	+0.008810620+0.000115845i	+0.201284035+0.000723257i	+0.022973386+0.000032910i	+0.064779358+0.000861282i	+0.062846615-0.000167298i	-0.001625813+0.000053780i	-0.103120036-0.000198719i	+0.000561061-0.000000307i	-0.003752781-0.000002588i	+0.000315992+0.000001536i	+0.006143470-0.000003610i	+0.000757921+0.000000917i	+0.002354228+0.000002208i	+0.001924546-0.000001743i	-0.000060491+0.000001122i	-0.003773972-0.000002600i
5.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018278309-0.000031808i	-0.112778965+0.000393284i	+0.008801034+0.000113350i	+0.201352057+0.000747750i	+0.022915666+0.000016161i	+0.064732285+0.000848951i	+0.062889235-0.000152217i	-0.001647108+0.000047757i	-0.103060446-0.000183804i	+0.000561094-0.000000048i	-0.003752784-0.000002532i	+0.000315978+0.000001458i	+0.006143516-0.000003297i	+0.000757848+0.000000628i	+0.002354160+0.000001935i	+0.001924565-0.000001573i	-0.000060503+0.000000997i	-0.003773885-0.000002185i
6.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018322973-0.000015896i	-0.112769303+0.000395960i	+0.008777780+0.000107361i	+0.201401454+0.000765652i	+0.022865866+0.000001712i	+0.064664941+0.000831235i	+0.062938363-0.000134773i	-0.001674306+0.000040161i	-0.103032433-0.000176721i	+0.000561111+0.000000132i	-0.003752792-0.000002479i	+0.000315954+0.000001310i	+0.006143543-0.000003069i	+0.000757813+0.000000330i	+0.002354114+0.000001504i	+0.001924578-0.000001352i	-0.000060545+0.000000859i	-0.003773841-0.000002016i
7.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018351712-0.000005626i	-0.112758804+0.000398928i	+0.008754107+0.000101243i	+0.201420169+0.000772445i	+0.022834053-0.000007534i	+0.064607693+0.000816228i	+0.062982391-0.000119240i	-0.001700254+0.000032834i	-0.103029542-0.000175962i	+0.000561121+0.000000274i	-0.003752766-0.000002447i	+0.000315928+0.000001197i	+0.006143590-0.000003001i	+0.000757780+0.000000162i	+0.002354009+0.000001124i	+0.001924642-0.000001154i	-0.000060588+0.000000705i	-0.003773874-0.000002008i
8.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018371485+0.000001384i	-0.112747588+0.000402050i	+0.008730592+0.000095230i	+0.201422232+0.000773274i	+0.022811714-0.000014009i	+0.064558528+0.000803415i	+0.063018860-0.000106294i	-0.001723915+0.000026108i	-0.103040923-0.000178756i	+0.000561177+0.000000374i	-0.003752770-0.000002377i	+0.000315920+0.000000995i	+0.006143565-0.000002979i	+0.000757754+0.000000041i	+0.002353957+0.000000820i	+0.001924650-0.000000990i	-0.000060597+0.000000571i	-0.003773899-0.000002075i
9.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.018382806+0.000005428i	-0.112737171+0.000405110i	+0.008712090+0.000090458i	+0.201412472+0.000769803i	+0.022798593-0.000017844i	+0.064525125+0.000794583i	+0.063044664-0.000097126i	-0.001743224+0.000020693i	-0.103057271-0.000182869i	+0.000561197+0.000000412i	-0.003752730-0.000002301i	+0.000315863+0.000000905i	+0.006143549-0.000003016i	+0.000757716-0.000000036i	+0.002353931+0.000000580i	+0.001924648-0.000000884i	-0.000060613+0.000000474i	-0.003773895-0.000002202i
